Disease,symptoms
pneumonia," chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
pneumonia," fatigue, cough, high_fever, breathlessness, sweating, malaise, phlegm, chest_pain, fast_heart_rate, rusty_sputum"
pneumonia," chills, fatigue, cough, high_fever, breathlessness, sweating, malaise, chest_pain, fast_heart_rate, rusty_sputum"
psoriasis," skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
psoriasis," skin_rash, joint_pain, skin_peeling, silver_like_dusting, inflammatory_nails"
psoriasis," skin_rash, joint_pain, skin_peeling, small_dents_in_nails, inflammatory_nails"
psoriasis," skin_rash, joint_pain, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
psoriasis," skin_rash, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
psoriasis," joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails, inflammatory_nails"
psoriasis," skin_rash, joint_pain, skin_peeling, silver_like_dusting, small_dents_in_nails"
tuberculosis," chills, vomiting, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
tuberculosis," chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
tuberculosis," chills, vomiting, fatigue, weight_loss, cough, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
tuberculosis," chills, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
tuberculosis," vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
tuberculosis," chills, vomiting, fatigue, weight_loss, cough, high_fever, breathlessness, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
tuberculosis," chills, vomiting, fatigue, weight_loss, cough, high_fever, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
tuberculosis," chills, vomiting, fatigue, cough, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
tuberculosis," chills, vomiting, fatigue, weight_loss, high_fever, breathlessness, sweating, loss_of_appetite, mild_fever, yellowing_of_eyes, swelled_lymph_nodes, malaise, phlegm, chest_pain, blood_in_sputum"
typhoid," chills, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain"
typhoid," chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos)"
typhoid," chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, toxic_look_(typhos), belly_pain"
typhoid," chills, vomiting, fatigue, high_fever, headache, nausea, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain"
typhoid," chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, belly_pain"
typhoid," chills, vomiting, fatigue, high_fever, headache, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain"
typhoid," chills, vomiting, fatigue, high_fever, nausea, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain"
typhoid," chills, vomiting, fatigue, high_fever, headache, nausea, constipation, diarrhoea, toxic_look_(typhos), belly_pain"
typhoid," chills, vomiting, fatigue, high_fever, headache, constipation, abdominal_pain, diarrhoea, toxic_look_(typhos), belly_pain"
urinary tract infection," burning_micturition, bladder_discomfort, foul_smell_of urine"
urinary tract infection," burning_micturition, bladder_discomfort, continuous_feel_of_urine"
urinary tract infection," bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine"
urinary tract infection," burning_micturition, foul_smell_of urine, continuous_feel_of_urine"
urinary tract infection," burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine"
varicose veins," fatigue, cramps, bruising, obesity, swollen_blood_vessels, prominent_veins_on_calf"
varicose veins," fatigue, cramps, bruising, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
varicose veins," fatigue, cramps, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
varicose veins," fatigue, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
varicose veins," cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
varicose veins," fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels, prominent_veins_on_calf"
varicose veins," fatigue, cramps, bruising, obesity, swollen_legs, swollen_blood_vessels"
varicose veins," fatigue, cramps, bruising, obesity, swollen_legs, prominent_veins_on_calf"
acanthamoebkeratitis,"pain,redness,inflammation in the eye"
acute appendicitis,"pain in the lower right abdomen,nausea,vomiting,fever"
acute kidney injury (aki) ,decreased kidney function
adenovirus,"fever,sore throat,cough,conjunctivitis,rash,pink eye"
aflatoxicosis,"vomiting,diarrhea,jaundice,liver damage,death"
alcoholism,"physical dependence on alcohol,tolerance to alcohol,withdrawal symptoms,impaired judgment,memory problems,liver damage,heart disease,cancer"
allergic rhinitis,"runny nose,sneezing,itchy eyes,itchy nose,throat,palate"
alzheimer's disease,"memory loss,confusion,difficulty thinking,changes in personality or behavior"
anemia,"fatigue,shortness of breath,pale skin,lightheadedness,dizziness"
anxiety disorder,"excessive worry,fear,anxiety that interfere with daily life"
aortic aneurysm,"bulge in the wall of the aorta,the largest artery in the body"
appendicitis,"pain in the lower right abdomen,nausea,vomiting,fever"
arthritis,"pain,stiffness,swelling,inflammation in the joints"
asperger syndrome,"difficulty with social interaction,repetitive behaviors,restricted interests"
asthma,"wheezing,shortness of breath,coughing,chest tightness"
atopic dermatitis,"itchy,red,inflamed skin"
bacterial meningitis,"fever,headache,stiff neck,nausea,vomiting,sensitivity to light"
bacterial meningitis ,"fever,headache,stiff neck,nausea,vomiting,sensitivity to light"
bipolar disorder,"extreme mood swings,from manito depression"
bladder cancer,"blood in the urine,pain or burning when urinating,frequent urination,urgency to urinate,incontinence"
blood clot,"pain,swelling,redness,warmth,tenderness in the affected area,shortness of breath,chest pain,difficulty breathing,coughing up blood"
bronchitis,"cough,mucus production,shortness of breath,chest pain"
bursitis,"pain,swelling,inflammation in bursa,which is small sac of fluid that cushions joints"
cancer,"lump,unexplained weight loss,fatigue,changes in bowel,bladder habits,persistent cough,indigestion,unexplained bleeding or discharge"
celiac disease,"diarrhea,bloating,weight loss,fatigue,abdominal pain"
cervical cancer,"abnormal pap test results,abnormal vaginal bleeding,pain during sex"
cervical cancer ,"abnormal pap test results,abnormal vaginal bleeding,pain during sex"
chickenpox,"rash,fever,headache,muscle aches,fatigue"
cholesterol,high levels of cholesterol in the blood
chronic kidney disease,"fatigue,shortness of breath,swelling,high blood pressure,changes in urination"
chronic obstructive pulmonary disease (copd),"chronic bronchitis,emphysema"
colorectal cancer,"change in bowel habits,such as diarrhea,constipation,narrowing of the stool,blood in the stool,abdominal pain,unexplained weight loss"
common cold,"runny nose,sneezing,sore throat,cough,congestion"
conjunctivitis,"red,itchy,watery eyes"
crohn's disease,"diarrhea,bloody stool,abdominal pain,weight loss"
dementia,"memory loss,confusion,difficulty thinking,changes in personality or behavior"
depression ,"sadness,hopelessness,loss of interest in activities,changes in appetite,sleep,energy levels"
diabetes,"increased thirst,frequent urination,unexplained weight loss,fatigue,blurred vision,cuts that are slow to heal"
diarrhea,"loose,watery stools"
eating disorder,disturbance in eating behavior that can lead to serious health problems
epilepsy,seizures
epilepsy ,seizures
erectile dysfunction,"difficulty getting,keeping an erection "
fever,elevated body temperature 
fibromyalgi,"widespread pain,fatigue,tenderness"
fibromyalgia,"widespread pain,fatigue,tenderness"
flu,"fever,cough,sore throat,runny or stuffy nose,muscle aches,headache,fatigue"
food poisoning,"nausea,vomiting,diarrhea,abdominal cramps"
gallstones,"pain in the upper right abdomen,nausea,vomiting,fever"
glaucoma,"increased pressure in the eye that can damage the optic nerve,lead to vision loss"
gonorrhea,"sexually transmitted infection that can cause burning during urination,discharge from the penis or vagina,pain in the lower abdomen"
graves' disease,"hyperthyroidism,which is an overactive thyroid"
hashimoto's thyroiditis ,"hypothyroidism,which is an underactive thyroid "
heart attack,"chest pain,shortness of breath,nausea,vomiting,lightheadedness,sweating"
heart disease,"chest pain,shortness of breath,fatigue,dizziness,fainting"
heart failure,condition in which the heart cannot pump blood as well as it should
hepatitis,inflammation of the liver
hepatitis a," joint_pain, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
hepatitis a," joint_pain, vomiting, yellowish_skin, dark_urine, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
hepatitis a," joint_pain, vomiting, yellowish_skin, dark_urine, nausea, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
hepatitis a," joint_pain, vomiting, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
hepatitis a," joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
hepatitis a," vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
hepatitis a," joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
hepatitis a," joint_pain, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, diarrhoea, mild_fever, yellowing_of_eyes, muscle_pain"
hepatitis a," joint_pain, vomiting, yellowish_skin, dark_urine, nausea, loss_of_appetite, abdominal_pain, mild_fever, yellowing_of_eyes, muscle_pain"
herpes,"sexually transmitted infection that can cause blisters on the genitals,mouth,other parts of the body"
influenza,"fever,cough,sore throat,runny or stuffy nose,muscle aches,headache,fatigue"
irritable bowel syndrome (ibs),"abdominal pain,bloating,constipation,diarrhea"
kidney disease,damage to the kidneys that can lead to kidney failure
kidney stones ,"pain in the lower back or side,nausea,vomiting,blood in the urine"
lung cancer,"cough that does not go away,shortness of breath,chest pain,unexplained weight loss,fatigue,blood in the sputum"
lung disease,"condition that affects the lungs,can make it difficult to breathe"
lupus,chronic autoimmune disease that can affect any part of the body
malaria,"fever,chills,sweating,headache,muscle aches,fatigue,vomiting,diarrhea"
measles,"fever,cough,runny nose,red eyes,sore throat,rash"
meningitis,"fever,headache,stiff neck,nausea,vomiting,sensitivity to light"
mononucleosis,"fever,sore throat,fatigue,swollen lymph nodes,rash"
parkinson's disease,"tremors,slow movement,stiffness,difficulty with balance,coordination "
peptic ulcer disease ,"pain in the upper abdomen,indigestion,nausea,vomiting"
peripheral artery disease,"pain,numbness,tingling in the arms or legs"
pneumonia,"fever,cough,shortness of breath,chest pain,fatigue"
prostate cancer,"difficulty urinating,blood in the urine,pain in the back or hips,erectile dysfunction"
rabies,"fever,headache,muscle aches,tingling at the bite site,difficulty swallowing,hydrophobia,aerophobia"
rheumatoid arthritis,"pain,swelling,stiffness in the joints"
salmonella,"fever,diarrhea,abdominal cramps,nausea,vomiting"
shingles,painful rash that follows nerve path
stomach cancer,"pain in the upper abdomen,indigestion,nausea,vomiting,weight loss"
stroke,"sudden weakness,numbness on one side of the body,difficulty speaking,confusion,trouble seeing in one eye,severe headache"
stroke,"sudden weakness,numbness on one side of the body,confusion,difficulty speaking,trouble seeing in one eye,severe headache"
thyroid cancer,"lump in the neck,hoarseness,fatigue,weight loss,unexplained heat intolerance,sensitivity to cold"
tuberculosis (tb),"cough that does not go away,fever,night sweats,weight loss,fatigue,chest pain"
ulcerative colitis,"diarrhea,bloody stool,abdominal pain,weight loss"
urinary tract infection (uti),"painful urination,burning,frequent urination,urgency to urinate,blood in the urine"
varicose veins,"swollen,twisted veins,usually in the legs"
vertigo," vomiting, nausea, spinning_movements, loss_of_balance, unsteadiness"
vertigo," vomiting, headache, nausea, spinning_movements, loss_of_balance"
vertigo," vomiting, headache, nausea, spinning_movements, unsteadiness"
tuberculosis," vomiting, headache, nausea, loss_of_balance, unsteadiness"
vertigo," vomiting, headache, spinning_movements, loss_of_balance, unsteadiness"
urinary tract infection," headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
vertigo," vomiting, headache, nausea, spinning_movements, loss_of_balance, unsteadiness"
warts,"raised,rough growths on the skin"
warts ,"raised,rough growths on the skin"
yeast infection,"itching,burning,discharge from the vaginor penis"
